year,block,dsl_b,org_type,cin,iso_certified,initial_prod_year,acc_year_from,acc_year_to,months_operation,foreign_share,rd_unit,formal_training
24,B,100100,7,1E+21,2,2005,4,32024,12,2,3,2
24,B,100101,1,1E+21,2,1997,4,32024,12,2,3,2
24,B,100102,1,1E+21,2,2006,4,32024,12,2,3,2
24,B,100103,9,1E+21,2,0,4,32024,0,2,3,2
24,B,100104,7,1E+21,2,2023,4,32024,4,2,3,2
24,B,100105,9,1E+21,2,1982,4,32024,12,2,3,2
24,B,100106,9,1E+21,2,1970,4,32024,12,2,3,2
24,B,100107,1,1E+21,2,1953,4,32024,12,2,3,2
24,B,100108,7,1E+21,2,2013,4,32024,0,2,3,2
24,B,100109,1,1E+21,2,2004,4,32024,12,2,3,2
24,B,100110,2,1E+21,2,1970,4,32024,12,2,3,2
24,B,100111,1,1E+21,2,1920,4,32024,12,2,3,2
24,B,100112,2,1E+21,2,2005,4,32024,4,2,3,2
24,B,100113,7,1E+21,2,2010,4,32024,12,2,3,1
24,B,100114,2,1E+21,2,2018,4,32024,12,2,3,2
24,B,100115,2,1E+21,1,2002,4,32024,12,2,3,2
24,B,100116,9,1E+21,2,1960,4,32024,4,2,3,2
24,B,100117,2,1E+21,2,1997,4,32024,12,2,3,2
24,B,100118,2,1E+21,2,1995,4,32024,12,2,3,2
24,B,100119,1,1E+21,2,2001,4,32024,12,2,3,2
24,B,100120,1,1E+21,2,2013,4,32024,12,2,3,2
24,B,100121,1,1E+21,2,2010,4,32024,12,2,3,2
24,B,100122,2,1E+21,2,2011,4,32024,12,2,3,2
24,B,100123,2,1E+21,2,2012,4,32024,12,2,3,2
24,B,100124,1,1E+21,2,1998,4,32024,12,2,3,2
24,B,100125,1,1E+21,2,2015,4,32024,0,2,3,2
24,B,100126,2,1E+21,2,2021,4,32024,12,2,3,2
24,B,100127,7,1E+21,2,2007,4,32024,12,2,3,2
24,B,100128,2,1E+21,2,2004,4,32024,0,2,3,2
24,B,100129,2,1E+21,2,2002,4,32024,0,2,3,2
24,B,100130,2,1E+21,2,2012,4,32024,12,2,3,2
24,B,100131,7,1E+21,2,2021,4,32024,12,2,3,1
24,B,100132,5,1E+21,2,2023,4,32024,10,2,3,2
24,B,100133,2,1E+21,2,1970,4,32024,12,2,3,2
24,B,100134,2,1E+21,2,1977,4,32024,0,2,3,2
24,B,100135,2,1E+21,2,1996,4,32024,12,2,3,2
24,B,100136,2,1E+21,2,2005,4,32024,12,2,3,2
24,B,100137,7,1E+21,2,2002,4,32024,12,2,3,2
24,B,100138,1,1E+21,2,1999,4,32024,12,2,3,2
24,B,100139,2,1E+21,2,2022,4,32024,9,2,3,2
